                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54242,                 4.7921,                 1.1157,                0.00505,                0.87669,                0.00888,                0.00821,                0.42526,                 3.6483,                 1.0312,              0.0033268,              0.0033268,              0.0033268
                      2,                0.59862,                 4.0612,                   1.11,                0.00744,                0.97496,                0.02542,                0.02252,                0.50465,                 3.1676,                 1.0864,              0.0065942,              0.0065942,              0.0065942
                      3,                0.62441,                 3.6279,                 1.1097,                   0.25,                0.13764,                0.03388,                0.02918,                 0.5531,                 3.3771,                   1.16,              0.0097956,              0.0097956,              0.0097956
                      4,                0.63726,                 3.4087,                 1.1179,                0.28034,                0.26278,                 0.0942,                 0.0843,                0.47238,                 2.7077,                 1.0632,               0.009703,               0.009703,               0.009703
                      5,                0.60546,                 3.1702,                  1.098,                0.25128,                0.33176,                  0.147,                0.13287,                0.44463,                  2.477,                 1.0432,               0.009604,               0.009604,               0.009604
                      6,                0.57516,                 2.9404,                 1.0815,                0.27888,                0.38549,                0.20482,                0.18582,                0.45024,                 2.2882,                 1.0404,               0.009505,               0.009505,               0.009505
                      7,                0.55934,                 2.7562,                 1.0712,                0.30517,                0.39964,                0.25837,                 0.2322,                0.43867,                 2.1632,                 1.0239,               0.009406,               0.009406,               0.009406
                      8,                0.54794,                 2.5922,                 1.0655,                0.33939,                0.46482,                0.33101,                0.30472,                0.40946,                  1.966,                 1.0056,               0.009307,               0.009307,               0.009307
                      9,                0.53446,                 2.4854,                  1.059,                0.32539,                0.49326,                0.35816,                0.33047,                0.40386,                 1.9453,                 1.0063,               0.009208,               0.009208,               0.009208
                     10,                0.52633,                 2.3435,                 1.0543,                0.39484,                0.53141,                0.43959,                0.40516,                0.39567,                 1.7278,                 0.9957,               0.009109,               0.009109,               0.009109
                     11,                 0.5142,                 2.2261,                 1.0502,                0.45992,                0.53476,                  0.483,                0.44564,                 0.4019,                 1.6144,                0.99626,                0.00901,                0.00901,                0.00901
                     12,                0.51057,                 2.1172,                 1.0423,                0.45751,                0.58998,                0.54905,                 0.5069,                0.39427,                 1.4902,                0.98402,               0.008911,               0.008911,               0.008911
                     13,                0.50373,                 2.0285,                 1.0423,                0.48124,                 0.5886,                0.55926,                 0.5143,                 0.4032,                 1.4512,                0.99553,               0.008812,               0.008812,               0.008812
                     14,                0.49655,                 1.9476,                 1.0384,                0.51378,                0.59267,                0.58605,                0.54312,                0.38222,                  1.426,                0.98424,               0.008713,               0.008713,               0.008713
                     15,                0.49625,                 1.8867,                 1.0386,                0.52248,                0.62318,                0.62303,                0.57829,                0.37748,                 1.3298,                0.97882,               0.008614,               0.008614,               0.008614
                     16,                 0.4982,                 1.8268,                 1.0398,                0.59124,                0.63836,                 0.6705,                0.62319,                0.37407,                  1.199,                0.97353,               0.008515,               0.008515,               0.008515
                     17,                0.48703,                 1.7602,                 1.0334,                0.58968,                0.66675,                 0.6921,                0.64374,                 0.3741,                 1.1711,                 0.9733,               0.008416,               0.008416,               0.008416
                     18,                0.48234,                 1.7093,                 1.0304,                0.64145,                0.67874,                0.72583,                0.67314,                0.38054,                  1.074,                 0.9781,               0.008317,               0.008317,               0.008317
                     19,                0.47938,                 1.6636,                 1.0296,                0.65459,                0.67885,                0.74539,                 0.6936,                0.36668,                 1.0351,                0.96554,               0.008218,               0.008218,               0.008218
                     20,                0.47948,                 1.6383,                  1.032,                0.68267,                0.70518,                0.76392,                0.70913,                 0.3763,                0.99285,                0.98005,               0.008119,               0.008119,               0.008119
                     21,                0.47781,                 1.5867,                  1.028,                0.65595,                0.70751,                0.76049,                0.70771,                0.37034,                 1.0051,                0.97322,                0.00802,                0.00802,                0.00802
                     22,                0.46605,                 1.5367,                 1.0221,                0.70173,                 0.7153,                0.78852,                 0.7334,                0.37485,                0.91893,                0.96941,               0.007921,               0.007921,               0.007921
                     23,                0.46482,                 1.4958,                 1.0196,                0.73671,                0.72896,                 0.8076,                0.75095,                0.37371,                0.87012,                0.97104,               0.007822,               0.007822,               0.007822
                     24,                0.46528,                 1.4694,                 1.0196,                0.71531,                0.75912,                0.81134,                0.75756,                0.36323,                0.83224,                0.96512,               0.007723,               0.007723,               0.007723
                     25,                0.46385,                 1.4431,                 1.0183,                0.74804,                0.76416,                0.82793,                  0.772,                0.36315,                0.80675,                0.95985,               0.007624,               0.007624,               0.007624
                     26,                0.45939,                 1.4022,                 1.0161,                0.75099,                0.76074,                 0.8327,                0.77821,                0.36197,                0.78889,                 0.9585,               0.007525,               0.007525,               0.007525
                     27,                 0.4588,                 1.3678,                 1.0182,                0.75688,                0.77479,                0.84116,                0.78488,                0.35889,                0.76259,                0.95834,               0.007426,               0.007426,               0.007426
                     28,                0.45417,                 1.3531,                 1.0139,                0.79575,                0.78123,                0.85238,                0.79652,                0.36022,                0.72645,                0.95806,               0.007327,               0.007327,               0.007327
                     29,                0.45437,                 1.3343,                 1.0176,                0.76736,                0.79388,                0.85353,                0.79759,                0.35717,                0.73845,                0.95906,               0.007228,               0.007228,               0.007228
                     30,                0.45536,                 1.3195,                 1.0127,                0.77879,                0.80259,                0.86223,                0.80616,                0.35713,                0.70419,                0.95686,               0.007129,               0.007129,               0.007129
                     31,                0.45371,                 1.2775,                 1.0131,                0.82098,                 0.8003,                0.87439,                0.81866,                0.35738,                0.66025,                0.95689,                0.00703,                0.00703,                0.00703
                     32,                0.44792,                 1.2689,                 1.0123,                0.79486,                0.79971,                0.86752,                0.81074,                 0.3591,                0.69054,                0.95991,               0.006931,               0.006931,               0.006931
                     33,                 0.4513,                 1.2421,                 1.0155,                0.80424,                0.82006,                0.87637,                0.81857,                0.35878,                0.65499,                0.95574,               0.006832,               0.006832,               0.006832
                     34,                0.44592,                  1.218,                 1.0091,                0.82315,                0.80678,                0.87753,                0.82068,                0.35314,                0.64659,                0.95482,               0.006733,               0.006733,               0.006733
                     35,                0.44817,                 1.2142,                 1.0111,                 0.8185,                0.82354,                0.88658,                0.82873,                0.35486,                0.63318,                0.95455,               0.006634,               0.006634,               0.006634
                     36,                0.44104,                 1.1727,                 1.0076,                0.83862,                0.83506,                0.89454,                0.83921,                0.34819,                0.59727,                 0.9478,               0.006535,               0.006535,               0.006535
                     37,                0.44114,                 1.1595,                 1.0071,                0.84424,                 0.8229,                0.89348,                0.83648,                0.35085,                0.59732,                0.95435,               0.006436,               0.006436,               0.006436
                     38,                0.43652,                 1.1562,                 1.0063,                0.83863,                0.83934,                0.89862,                0.84132,                0.35081,                0.58264,                0.95153,               0.006337,               0.006337,               0.006337
                     39,                0.43993,                 1.1468,                 1.0074,                 0.8439,                 0.8472,                0.90017,                0.84425,                 0.3496,                0.56444,                 0.9484,               0.006238,               0.006238,               0.006238
                     40,                0.43868,                  1.122,                 1.0031,                0.84369,                0.85172,                0.90644,                0.85245,                0.34088,                0.54578,                 0.9432,               0.006139,               0.006139,               0.006139
                     41,                0.43538,                  1.108,                 1.0031,                 0.8473,                0.85081,                0.90674,                0.85148,                0.34669,                0.55619,                0.94805,                0.00604,                0.00604,                0.00604
                     42,                0.43718,                 1.0957,                 1.0037,                0.85236,                0.85224,                0.91102,                0.85583,                 0.3452,                 0.5369,                0.94608,               0.005941,               0.005941,               0.005941
